currentPrice,volumen,previousClose,open,dayLow,dayHigh,regularMarketVolume,averageVolume,averageVolume10days,fiftyTwoWeekRange,bid,ask,dividendYield,marketCap,trailingPE,symbol,timestamp
21.639999389648438,25911,22.44,21.69,21.47,21.8,25911,1326891,991480,20.83 - 29.05,21.55,22.36,6.61,1033309952,10.029426,ILF,2025-04-07 08:48:34.502639
,,22.44,21.69,21.47,21.8,27466,1326891,991480,20.83 - 29.05,21.55,22.36,6.61,1036652480,10.061868,ILF,2025-04-07 08:50:09.428675
21.739999771118164,30543,22.44,21.69,21.47,21.8,30543,1326891,991480,20.83 - 29.05,21.55,22.36,6.61,1038084992,10.075772,ILF,2025-04-07 08:51:11.670942
21.7450008392334,32047,22.44,23.12,21.63,21.8,32077,1326891,991480,20.83 - 29.05,21.55,22.36,6.61,1038323776,10.07809,ILF,2025-04-07 08:52:16.982870
21.75,35296,22.44,21.69,21.47,21.8,35296,1326891,991480,20.83 - 29.05,21.55,22.36,6.61,1038562496,10.080407,ILF,2025-04-07 08:53:19.260194
,,22.44,21.69,21.47,21.8,36138,1326891,991480,20.83 - 29.05,21.55,22.36,6.61,1036619008,10.061543,ILF,2025-04-07 08:54:31.398372
22.440000534057617,2295900,22.44,21.69,21.47,21.83,49995,1326891,991480,20.83 - 29.05,21.55,22.34,6.61,1036175040,10.057234,ILF,2025-04-07 08:55:33.580664
22.440000534057617,2295900,22.44,21.69,21.47,21.85,53799,1326891,991480,20.83 - 29.05,21.55,22.34,6.61,1032832448,10.024791,ILF,2025-04-07 08:56:37.895847
21.610000610351562,70144,22.44,23.12,21.58,21.8,70144,1326891,991480,20.83 - 29.05,21.55,22.3,6.61,1031877504,10.015522,ILF,2025-04-07 08:57:40.396189
21.610000610351562,72902,22.44,23.12,21.58,21.8,72902,1326891,991480,20.83 - 29.05,21.55,22.3,6.61,1031877504,10.015522,ILF,2025-04-07 08:58:42.872537
21.96500015258789,249495,22.44,21.69,21.47,21.98,93617,1326891,991480,20.83 - 29.05,21.61,21.8,6.61,1027102528,9.969175,ILF,2025-04-07 08:59:45.751031
21.65999984741211,174047,22.44,21.69,21.47,22.01,174047,1326891,991480,20.83 - 29.05,21.72,21.73,6.61,1034265024,10.038695,ILF,2025-04-07 09:00:48.041534
21.950000762939453,265392,22.44,21.69,21.47,22.01,202751,1326891,991480,20.83 - 29.05,21.7,21.71,6.61,1035697536,10.052599,ILF,2025-04-07 09:01:50.556706
21.934999465942383,267071,22.44,21.69,21.47,21.8,230536,1326891,991480,20.83 - 29.05,21.57,21.58,6.61,1040472512,10.098947,ILF,2025-04-07 09:02:55.097069
21.90999984741211,268847,22.44,21.69,21.47,22.01,268847,1326891,991480,20.83 - 29.05,21.69,21.69,6.61,1046202496,10.154562,ILF,2025-04-07 09:03:57.882659
21.920000076293945,270312,22.44,21.69,21.47,22.01,270312,1326891,991480,20.83 - 29.05,21.72,21.73,6.61,1046680000,10.159197,ILF,2025-04-07 09:05:00.367919
21.940000534057617,272958,22.44,21.69,21.47,22.01,272958,1326891,991480,20.83 - 29.05,21.75,21.75,6.61,1047635008,10.168467,ILF,2025-04-07 09:06:02.896955
21.940000534057617,275864,22.44,21.69,21.47,22.01,275864,1326891,991480,20.83 - 29.05,21.76,21.77,6.61,1047635008,10.168467,ILF,2025-04-07 09:07:05.461894
